date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:35	2302/2302	------	200	untouched ('OK')	text/html	date:Sun,%2004%20Jan%202026%2011:45:30%20GMT	https://madewithgsap.com/robots.txt		(from )
17:15:35	47563/47563	------	200	untouched ('OK')	text/html	date:Sun,%2004%20Jan%202026%2011:45:30%20GMT	https://madewithgsap.com/	/Users/kryoleith_macsrt/desktop/WBST/madewithgsap.com/index.html	(from )
17:15:35	2963/2963	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Jun%202025%2012:29:33%20GMT	https://madewithgsap.com/assets/img/fav/apple-touch-icon.png	/Users/kryoleith_macsrt/desktop/WBST/madewithgsap.com/assets/img/fav/apple-touch-icon.png	(from https://madewithgsap.com/)
17:15:36	436/436	---M--	200	added ('OK')	text/html	date:Mon,%2030%20Jun%202025%2012:29:34%20GMT	https://madewithgsap.com/assets/img/fav/site.webmanifest	/Users/kryoleith_macsrt/desktop/WBST/madewithgsap.com/assets/img/fav/site.html	(from https://madewithgsap.com/)
17:15:37	47233/47233	------	200	untouched ('OK')	text/css	date:Sun,%2030%20Nov%202025%2023:12:55%20GMT	https://madewithgsap.com/assets/landing/style.css	/Users/kryoleith_macsrt/desktop/WBST/madewithgsap.com/assets/landing/style.css	(from https://madewithgsap.com/)
17:15:37	1259/1259	------	200	untouched ('')	image/png	date:Mon,%2030%20Jun%202025%2012:29:34%20GMT	https://madewithgsap.com/assets/img/fav/favicon-96x96.png	/Users/kryoleith_macsrt/desktop/WBST/madewithgsap.com/assets/img/fav/favicon-96x96.png	(from https://madewithgsap.com/)
17:15:37	13064/13064	------	200	untouched ('OK')	image/svg+xml	date:Mon,%2030%20Jun%202025%2012:29:34%20GMT	https://madewithgsap.com/assets/img/fav/favicon.svg	/Users/kryoleith_macsrt/desktop/WBST/madewithgsap.com/assets/img/fav/favicon.svg	(from https://madewithgsap.com/)
17:15:37	15086/15086	------	200	untouched ('')	image/x-icon	date:Mon,%2030%20Jun%202025%2012:29:34%20GMT	https://madewithgsap.com/assets/img/fav/favicon.ico	/Users/kryoleith_macsrt/desktop/WBST/madewithgsap.com/assets/img/fav/favicon.ico	(from https://madewithgsap.com/)
17:15:41	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2004%20Jan%202026%2011:45:41%20GMT	https://madewithgsap.com/assets/img/og.jpg	/Users/kryoleith_macsrt/desktop/WBST/madewithgsap.com/assets/img/og.jpg	(from https://madewithgsap.com/)
17:15:42	2107/2107	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Apr%202025%2022:08:49%20GMT	https://madewithgsap.com/assets/tutorial/prism.css	/Users/kryoleith_macsrt/desktop/WBST/madewithgsap.com/assets/tutorial/prism.css	(from https://madewithgsap.com/)
